run_id,submit_time,rel_date,cr_count,cfd_count,npi_count,reserved_time,completed_time,tests_run
1,5/4/23 0:41,06/15/23,65,14,11,5/7/23 14:55,5/7/23 16:53,"['script9', 'script6', 'script8', 'script8', 'script7', 'script6', 'script1', 'script8', 'script3', 'script3', 'script5', 'script1', 'script5', 'script5', 'script1', 'script9', 'script2', 'script6', 'script9', 'script10']"
2,6/25/23 11:21,06/15/23,91,12,14,6/27/23 16:02,6/27/23 17:49,"['script8', 'script3', 'script1', 'script3', 'script9', 'script2', 'script8', 'script7', 'script5', 'script10', 'script7', 'script9', 'script10']"
3,1/13/23 8:41,06/15/23,95,13,15,1/19/23 11:09,1/19/23 12:59,"['script1', 'script3', 'script8', 'script9', 'script5', 'script6', 'script6', 'script8', 'script7', 'script8', 'script4', 'script2', 'script10', 'script2', 'script7', 'script6', 'script8', 'script6', 'script4', 'script7', 'script6', 'script5', 'script3', 'script5', 'script3', 'script1', 'script3', 'script5', 'script10', 'script6', 'script6', 'script4', 'script10']"
4,4/20/23 9:05,06/15/23,31,14,14,4/25/23 15:55,4/25/23 17:51,"['script4', 'script6', 'script7', 'script6', 'script2', 'script9', 'script8', 'script5', 'script10', 'script1', 'script1', 'script1', 'script7', 'script8', 'script5', 'script5', 'script3', 'script2', 'script5', 'script8', 'script10', 'script8', 'script6', 'script9', 'script6', 'script6', 'script8', 'script2', 'script2', 'script9', 'script7', 'script5']"
5,5/31/23 20:22,06/15/23,113,15,12,6/4/23 13:35,6/4/23 14:32,"['script10', 'script7', 'script4', 'script7', 'script4', 'script6', 'script10', 'script10', 'script7', 'script3', 'script6', 'script2', 'script4', 'script4', 'script9', 'script1', 'script3', 'script1']"
6,6/17/23 3:11,06/15/23,54,12,15,6/23/23 9:53,6/23/23 11:02,"['script6', 'script1', 'script3', 'script9', 'script10', 'script7', 'script4', 'script1', 'script7', 'script3', 'script2', 'script9', 'script3', 'script8', 'script5', 'script2', 'script2', 'script10', 'script7', 'script5', 'script4', 'script3', 'script7', 'script8', 'script7', 'script9', 'script1', 'script6', 'script1', 'script10']"
7,4/9/23 10:27,06/15/23,32,12,11,4/14/23 11:09,4/14/23 12:46,"['script1', 'script8', 'script2', 'script8', 'script8', 'script9', 'script1', 'script3', 'script3', 'script9', 'script5', 'script8', 'script2', 'script9', 'script8', 'script7', 'script9', 'script5', 'script9', 'script2', 'script10', 'script8']"
8,3/16/23 21:17,06/15/23,19,11,13,3/17/23 13:30,3/17/23 15:23,"['script1', 'script2', 'script4', 'script1', 'script8', 'script5', 'script4']"
9,4/4/23 19:05,06/15/23,79,11,11,4/7/23 9:01,4/7/23 10:40,"['script9', 'script10', 'script7', 'script6', 'script1', 'script6', 'script5', 'script10', 'script1', 'script1', 'script6', 'script6', 'script2', 'script2', 'script1', 'script6', 'script4', 'script8', 'script3', 'script1', 'script8', 'script6']"
10,11/8/23 5:54,01/15/24,12,15,14,11/14/23 14:11,11/14/23 15:32,"['script2', 'script7', 'script7', 'script2', 'script5', 'script5', 'script2', 'script9', 'script9', 'script5', 'script5', 'script5', 'script3', 'script9', 'script9', 'script9', 'script8', 'script10', 'script6', 'script1', 'script6', 'script8', 'script6', 'script9', 'script8', 'script3', 'script5', 'script5', 'script6', 'script2', 'script1', 'script2', 'script10']"
11,8/29/23 14:49,01/15/24,68,11,10,9/4/23 14:06,9/4/23 15:26,"['script10', 'script3', 'script7', 'script1', 'script4', 'script7', 'script5', 'script3', 'script1', 'script1', 'script4', 'script1', 'script2', 'script8', 'script5', 'script5', 'script6', 'script7', 'script2', 'script3', 'script7', 'script3', 'script7', 'script5', 'script2', 'script3', 'script4', 'script1', 'script8']"
